date,open,close,high,low,volume,amount,symbol
20130502,294.56,292.85,294.56,292.71,1909900,2033594816.0,000832.SH
20130503,293.16,295.14,295.41,293.09,2707000,2933851264.0,000832.SH
20130506,295.32,297.47,297.63,295.29,2256800,2474256512.0,000832.SH
20130507,297.56,298.08,298.27,296.7,1755500,1950921056.0,000832.SH
20130508,298.3,299.25,299.92,298.3,1994500,2204519968.0,000832.SH
20130509,299.31,298.23,299.34,297.5,1251500,1359266672.0,000832.SH
20130510,298.2,298.63,298.94,297.74,1925500,2100803312.0,000832.SH
20130513,298.67,298.71,299.96,298.56,1243700,1365695648.0,000832.SH
20130514,298.86,297.24,299.03,296.89,1228000,1347898864.0,000832.SH
20130515,297.28,297.84,297.87,297.28,1072100,1163500960.0,000832.SH
20130516,297.81,300.66,300.8,297.29,1557300,1703011120.0,000832.SH
20130517,300.69,304.49,304.92,300.64,2400800,2675469200.0,000832.SH
20130520,304.65,307.21,308.12,304.65,2815900,3167156336.0,000832.SH
20130521,307.1,305.7,307.1,305.12,1875800,2129375328.0,000832.SH
20130522,305.99,303.73,306.26,303.44,1663800,1880246064.0,000832.SH
20130523,303.54,302.5,303.9,302.45,1994300,2241504496.0,000832.SH
20130524,302.83,302.99,303.83,302.59,1258200,1397078848.0,000832.SH
20130527,303.12,303.38,304.2,303.02,995500,1091347824.0,000832.SH
20130528,303.54,306.8,306.88,303.05,1789000,2042614016.0,000832.SH
20130529,307.05,307.14,307.8,307.05,2339400,2641541552.0,000832.SH
20130530,307.07,306.09,307.57,305.36,18261000,2064419136.0,000832.SH
20130531,306.28,305.8,306.71,305.69,10220900,1161223952.0,000832.SH
20130603,306.17,305.94,306.7,305.76,13166400,1502981104.0,000832.SH
20130604,305.94,304.47,305.96,303.58,16687000,1870483952.0,000832.SH
20130605,304.48,304.09,304.53,303.68,10134100,1130166496.0,000832.SH
20130606,303.87,302.02,304.04,301.71,17396200,1906336592.0,000832.SH
20130607,302.1,300.69,302.47,299.79,17189700,1878597264.0,000832.SH
20130613,299.58,296.55,299.58,296.35,27367300,2919471824.0,000832.SH
20130614,296.95,296.64,297.25,296.07,15842900,1723941216.0,000832.SH
20130617,297.08,297.14,297.49,296.27,15007400,1609942768.0,000832.SH
20130618,297.78,297.77,298.36,296.8,11518000,1232814496.0,000832.SH
20130619,297.57,295.39,297.57,294.47,19425900,2059904816.0,000832.SH
20130620,295.22,286.06,295.22,285.9,44056200,4563809792.0,000832.SH
20130621,286.38,287.59,288.18,283.81,34496300,3569992864.0,000832.SH
20130624,287.43,280.04,287.43,279.83,40856300,4124771936.0,000832.SH
20130625,279.82,283.13,283.32,277.49,38543200,3910646048.0,000832.SH
20130626,285.69,285.0,286.47,284.0,27412500,2825488736.0,000832.SH
20130627,285.65,286.28,287.66,285.65,22584600,2351108368.0,000832.SH
20130628,286.3,287.72,289.13,286.09,24761800,2561451744.0,000832.SH
20130701,288.04,291.4,291.44,287.84,24446600,2620421136.0,000832.SH
20130702,291.38,291.31,291.42,290.25,19737900,2135919280.0,000832.SH
20130703,291.01,289.8,291.01,288.68,17186800,1830619504.0,000832.SH
20130704,289.57,289.94,291.11,288.9,15333400,1632627408.0,000832.SH
20130705,289.98,291.26,292.06,289.98,16200000,1726403456.0,000832.SH
20130708,291.04,289.18,291.04,288.84,16730300,1748438336.0,000832.SH
20130709,289.3,289.23,289.61,288.54,19486100,2040282192.0,000832.SH
20130710,289.28,290.16,290.35,289.24,19702100,2066536336.0,000832.SH
20130711,289.33,292.03,293.75,289.33,50619400,5219329536.0,000832.SH
20130712,292.04,290.23,292.78,289.98,17997600,1888955296.0,000832.SH
20130715,290.45,290.93,291.81,290.45,14503300,1536133824.0,000832.SH
20130716,290.84,290.32,291.03,289.93,8997300,944556352.0,000832.SH
20130717,290.34,289.06,290.99,289.01,9897200,1047655632.0,000832.SH
20130718,289.03,287.18,289.21,286.49,18965400,1980583424.0,000832.SH
20130719,287.18,286.34,287.86,285.41,13788500,1429693904.0,000832.SH
20130722,286.13,285.06,286.13,284.63,17887800,1877788848.0,000832.SH
20130723,285.29,286.74,287.24,285.23,17932300,1863085584.0,000832.SH
20130724,286.67,286.28,286.82,285.63,8992300,938191232.0,000832.SH
20130725,286.45,285.8,286.9,285.67,7883700,820489248.0,000832.SH
20130726,285.81,286.07,286.16,285.34,5175600,542215200.0,000832.SH
20130729,285.86,284.5,285.86,284.16,8276700,856218832.0,000832.SH
20130730,284.73,284.6,285.24,284.01,10508700,1085311728.0,000832.SH
20130731,284.83,285.04,285.4,284.75,6861000,702031184.0,000832.SH
20130801,285.31,287.46,287.55,285.11,12267100,1291944672.0,000832.SH
20130802,287.88,287.94,288.9,287.88,14322100,1503347168.0,000832.SH
20130805,288.02,288.6,288.78,287.87,13807900,1468146208.0,000832.SH
20130806,288.51,289.22,289.27,288.31,14105600,1513001184.0,000832.SH
20130807,289.19,289.0,289.84,288.81,11520100,1211047728.0,000832.SH
20130808,289.11,288.65,289.27,288.33,6237400,654327872.0,000832.SH
20130809,288.83,288.63,289.39,288.4,6654200,696879696.0,000832.SH
20130812,288.8,290.86,290.9,288.7,16356000,1729937520.0,000832.SH
20130813,290.93,291.1,291.31,290.69,13639500,1436113376.0,000832.SH
20130814,291.09,290.22,292.44,290.18,14904100,1570772272.0,000832.SH
20130815,290.34,289.15,290.78,288.99,7951800,842928592.0,000832.SH
20130816,289.04,287.92,293.08,287.86,24619800,2589422368.0,000832.SH
20130819,287.77,289.45,289.66,287.56,11848500,1263157728.0,000832.SH
20130820,289.37,288.79,290.06,288.39,11710600,1249884128.0,000832.SH
20130821,288.98,287.52,289.1,287.4,12126300,1299941744.0,000832.SH
20130822,287.62,287.28,287.95,287.07,6233000,658299824.0,000832.SH
20130823,287.38,286.87,287.79,286.4,6443400,663675936.0,000832.SH
20130826,287.04,288.55,288.66,286.88,14173900,1452161248.0,000832.SH
20130827,288.52,288.71,289.12,288.34,7440300,779114672.0,000832.SH
20130828,288.54,288.54,288.94,287.89,6898100,710372272.0,000832.SH
20130829,288.93,288.33,289.18,288.08,9769100,1017637424.0,000832.SH
20130830,288.42,288.69,289.0,288.08,8733800,917548656.0,000832.SH
20130902,288.92,288.84,289.12,288.34,9746000,1018189568.0,000832.SH
20130903,288.77,290.84,290.97,288.77,16662800,1729356416.0,000832.SH
20130904,290.82,290.53,291.24,290.27,9697900,1011069232.0,000832.SH
20130905,290.61,290.26,290.69,290.08,10480000,1092198160.0,000832.SH
20130906,290.29,290.32,290.65,289.99,11052800,1135896912.0,000832.SH
20130909,290.57,296.2,297.53,290.57,47764400,5063516416.0,000832.SH
20130910,296.44,298.43,298.54,295.94,41059100,4449875456.0,000832.SH
20130911,302.81,301.73,303.82,300.56,72344200,8780422144.0,000832.SH
20130912,302.0,304.36,305.34,300.38,71387900,8680671488.0,000832.SH
20130913,304.39,300.75,304.39,300.2,46580100,5828724992.0,000832.SH
20130916,300.0,298.28,300.38,298.15,52672600,6414972928.0,000832.SH
20130917,299.33,296.1,299.75,295.78,40401900,4934065664.0,000832.SH
20130918,296.04,297.35,297.55,296.04,21492300,2561012832.0,000832.SH
20130923,297.89,297.77,298.07,296.52,22482000,2622062384.0,000832.SH
